City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Narsaq,GL,60.9167,-46.05,39.42,99,100,2.62,overcast clouds
114,Smithers,CA,54.7804,-127.1743,32.32,100,90,10.36,light rain
115,Lompoc,US,34.6391,-120.4579,50.72,44,1,5.75,clear sky
116,Prince Rupert,CA,54.3161,-130.3201,44.69,93,90,5.75,moderate rain
117,Dikson,RU,73.5069,80.5464,-12.59,99,100,10.71,overcast clouds
118,Pokhara,NP,28.2333,83.9833,58.37,66,5,4.61,clear sky
119,Bluff,NZ,-46.6,168.3333,50.85,71,53,11.21,broken clouds
120,Taoudenni,ML,22.6783,-3.9836,73.9,21,7,9.06,clear sky
121,Carutapera,BR,-1.195,-46.02,85.1,67,27,8.84,scattered clouds
122,Mimongo,GA,-1.6195,11.6068,88.84,43,87,4.07,overcast clouds
123,Ribeira Grande,PT,38.5167,-28.7,64.8,48,20,8.05,few clouds
124,Hualmay,PE,-11.0964,-77.6139,66.31,84,99,8.08,overcast clouds
125,Seddon,AU,-37.8068,144.8916,59.67,79,0,5.75,clear sky
126,Pervomayskoye,RU,43.919,46.7102,53.76,69,97,8.32,overcast clouds
127,Puerto Ayora,EC,-0.7393,-90.3518,69.04,80,97,8.37,overcast clouds
128,Dubki,RU,43.0225,46.8372,49.5,44,85,3.62,overcast clouds
129,Umba,RU,66.6871,34.3429,7.16,95,49,7.09,scattered clouds
130,Mar Del Plata,AR,-38.0023,-57.5575,64.42,94,90,9.22,light rain
131,Nome,US,64.5011,-165.4064,-16.53,63,1,4.61,clear sky
132,Bilma,NE,18.6853,12.9164,89.85,10,80,13.62,broken clouds
133,Harper,LR,4.375,-7.7169,84.04,69,65,6.67,light rain
134,Salinas,US,36.6777,-121.6555,53.69,56,1,9.22,clear sky
135,Krasnoselkup,RU,65.7,82.4667,-7.01,100,86,9.01,overcast clouds
136,East London,ZA,-33.0153,27.9116,77.94,57,0,10.36,clear sky
137,Henties Bay,NA,-22.116,14.2845,67.41,67,1,14.72,clear sky
138,Yumen,CN,40.2833,97.2,22.39,38,59,21.59,broken clouds
139,Padang,ID,-0.9492,100.3543,80.65,81,90,1.88,overcast clouds
140,Palauig,PH,15.435,119.9045,80.67,72,100,5.03,overcast clouds
141,Cayenne,GF,4.9333,-52.3333,80.64,89,20,3.44,few clouds
142,Kushiro,JP,42.975,144.3747,27.55,80,20,3.44,few clouds
143,Oranjemund,NA,-28.55,16.4333,70.99,61,15,11.83,few clouds
144,Kousseri,CM,12.0769,15.0306,98.56,8,54,10.36,broken clouds
145,Sitka,US,57.0531,-135.33,35.49,87,90,6.91,light snow
146,Hamilton,US,39.1834,-84.5333,38.95,81,75,8.05,broken clouds
147,Ilulissat,GL,69.2167,-51.1,23.02,63,100,13.8,overcast clouds
148,Pietarsaari,FI,63.65,22.6833,5.13,81,100,5.46,overcast clouds
149,Pevek,RU,69.7008,170.3133,-3.86,82,97,1.86,overcast clouds
150,Armidale,AU,-30.5167,151.65,54.88,98,100,5.99,overcast clouds
151,Chinchani,IN,19.8667,72.7,81.75,58,71,7.52,broken clouds
152,Nanortalik,GL,60.1432,-45.2371,38.48,97,100,14.81,overcast clouds
153,Traverse City,US,44.7631,-85.6206,34.0,86,90,5.75,light snow
154,Ekibastuz,KZ,51.6667,75.3667,12.51,80,40,6.96,scattered clouds
